type,value,context,first_seen,last_seen,tlp
url,https://jeanies-journeys.screenconnect.com/Bin/ScreenConnect.ClientSetup.exe?e=Access&y=Guest,ScreenConnect RAT installer (tenant A),2026-08-24,2026-09-04,white
url,https://ieee2.screenconnect.com/Bin/ScreenConnect.ClientSetup.exe?e=Access&y=Guest,ScreenConnect RAT installer (tenant B),2026-09-04,2026-09-04,white
url,https://acodcadohappiness.icu/akk/,Credential phish kit,2026-08-21,2026-09-04,white
url,http://fbends.icu/akk,Credential phish kit,2026-08-27,2026-09-04,white
domain,jeanies-journeys.screenconnect.com,ScreenConnect web/installer tenant A -> 148.113.219.237,2026-08-24,2026-09-04,white
domain,instance-s7gewk-relay.screenconnect.com,Embedded relay tenant A -> 15.235.110.92,2026-08-24,2026-09-04,white
domain,ieee2.screenconnect.com,ScreenConnect web/installer tenant B -> 40.160.1.134,2026-09-04,2026-09-04,white
domain,instance-ifkw0e-relay.screenconnect.com,Embedded relay tenant B -> 15.204.129.194,2026-09-04,2026-09-04,white
domain,acodcadohappiness.icu,Cred phish domain (PDR Ltd, CF proxied),2026-08-21,2026-09-04,white
domain,fbends.icu,Cred phish domain (PDR Ltd, CF proxied),2026-08-27,2026-09-04,white
domain,nav-adv0cati0n.im,Tracking pixel host (.im, registered, no NS at check),2026-08-21,2026-08-24,white
domain,pub-58388a1519064228b441a5517c701114.r2.dev,Cloudflare R2 lure-art bucket,2026-08-27,2026-08-27,white
domain,burt-drop.mom,Overlord 2.5.9 C2 panel (prior campaign infra),2026-08-12,2026-08-13,white
ip,148.113.219.237,ScreenConnect tenant A web (OVH CA),2026-08-24,2026-09-04,white
ip,15.235.110.92,ScreenConnect tenant A relay (OVH CA),2026-08-24,2026-09-04,white
ip,40.160.1.134,ScreenConnect tenant B web (OVH US),2026-09-04,2026-09-04,white
ip,15.204.129.194,ScreenConnect tenant B relay (OVH US),2026-09-04,2026-09-04,white
ip,66.163.122.218,Origin/C2 host (GTHost, Overlord panel) - prior campaign infra,2026-08-12,2026-08-13,white
file_hash_sha256,c68c432515df92ebe29b9eb3dab6a2d2cf1dea292eae3d5f5e081b05ae86f422,ScreenConnect.ClientSetup.exe 26.5.3.9691 tenant A (12,809,272 B),2026-08-24,2026-09-04,white
file_hash_sha256,5d7a14e9719d05b1bd20099923b12e80911f03f989fe18199aa983054cc4605e,ScreenConnect.ClientSetup.exe 26.5.3.9691 tenant B (12,809,272 B),2026-09-04,2026-09-04,white
email_from,sender-a@example.invalid,Compromised account ("Persona A"),2026-08-13,2026-08-24,white
email_from,sender-b@example.invalid,Compromised account ("Persona B"),2026-08-21,2026-09-04,white
email_from,sender-c@example.invalid,Compromised account ("Persona C"),2026-08-27,2026-09-04,white
email_from,forwarder-a@example.invalid,Re-sender of Persona A lure,2026-08-24,2026-08-24,white
email_from,forwarder-b@example.invalid,Forwarder of Persona A lure,2026-08-24,2026-08-24,white
subject_regex,(PLEASE KINDLY OPEN AND DOWNLOAD YOUR SPECIAL INVITE|INVITATION EXTENDED (EXCLUSIVELY )?FROM|A DISTINGUISHED INVITATION|SPECIAL INVITATION FROM|SAVE THE DATE|JOIN US),Subject-line pattern,2026-08-13,2026-09-04,white
